,ID,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
45535,30030,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,51,MALAYSIA,0.0,17.82,,31
48649,20726,RAB,Airlines,Online,Value Plan,0,21,BRUNEI DARUSSALAM,15.0,6.0,,45
19029,18024,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,24,MALAYSIA,20.0,0.0,,36
25384,50965,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,AUSTRALIA,49.5,29.7,,31
14916,8098,SSI,Airlines,Online,Ticket Protector,0,6,SINGAPORE,21.35,5.98,,48
24103,46170,EPX,Travel Agency,Online,Cancellation Plan,0,5,SINGAPORE,10.0,0.0,,36
5032,11221,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,24,"TAIWAN, PROVINCE OF CHINA",49.5,29.7,,37
18257,46792,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,VIET NAM,23.0,0.0,,36
2857,46281,C2B,Airlines,Online,Silver Plan,0,34,SINGAPORE,112.5,28.13,F,34
5199,35482,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,4,MALAYSIA,39.6,23.76,,32
9653,32784,EPX,Travel Agency,Online,Cancellation Plan,0,27,CHINA,38.0,0.0,,36
27250,52252,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,60,INDONESIA,21.0,0.0,,36
12927,33480,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,197,UNITED STATES,24.0,0.0,,23
26790,50631,EPX,Travel Agency,Online,Cancellation Plan,0,8,CHINA,30.0,0.0,,36
12722,37456,JZI,Airlines,Online,Basic Plan,0,14,MALAYSIA,33.0,11.55,M,45
45845,13569,JZI,Airlines,Online,Basic Plan,0,22,HONG KONG,26.0,9.1,F,47
42067,8725,JZI,Airlines,Online,Value Plan,0,12,UNITED KINGDOM,109.0,38.15,M,51
43113,4780,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,95,SOUTH AFRICA,0.0,11.88,,32
2794,39927,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,RUSSIAN FEDERATION,112.0,0.0,,36
41783,54582,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,3,HONG KONG,52.0,0.0,,46
12211,35764,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,HONG KONG,20.0,0.0,,62
16606,52324,EPX,Travel Agency,Online,Cancellation Plan,0,12,INDIA,13.0,0.0,,46
36403,18830,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,36,"KOREA, REPUBLIC OF",39.6,23.76,,26
7109,3803,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,125,PHILIPPINES,24.0,0.0,,36
20760,55396,C2B,Airlines,Online,Annual Gold Plan,0,364,SINGAPORE,239.5,59.88,M,36
7370,21976,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,66,UNITED STATES,49.5,29.7,,57
44969,21173,C2B,Airlines,Online,Silver Plan,0,11,SINGAPORE,43.55,10.89,F,32
24999,61033,JZI,Airlines,Online,Basic Plan,0,121,PHILIPPINES,37.0,12.95,F,32
30125,17508,SSI,Airlines,Online,Ticket Protector,0,3,SINGAPORE,6.56,1.84,,48
15737,28680,EPX,Travel Agency,Online,Cancellation Plan,0,5,MALAYSIA,10.0,0.0,,36
15110,10881,EPX,Travel Agency,Online,Cancellation Plan,0,12,THAILAND,15.0,0.0,,40
11663,16648,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,28,"TAIWAN, PROVINCE OF CHINA",51.0,0.0,,45
33712,16838,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,84,MYANMAR,20.0,0.0,,36
16402,177,EPX,Travel Agency,Online,Cancellation Plan,0,7,MALAYSIA,16.0,0.0,,36
26759,25665,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,44,UNITED KINGDOM,0.0,23.76,,53
36418,51216,EPX,Travel Agency,Online,Cancellation Plan,0,7,SINGAPORE,10.0,0.0,,36
45619,39260,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,39,INDONESIA,-89.1,53.46,,53
50088,22028,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,INDONESIA,26.0,0.0,,36
36889,34789,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,43,AUSTRALIA,99.0,59.4,,46
13279,46620,EPX,Travel Agency,Online,Cancellation Plan,0,16,CHINA,28.0,0.0,,36
4622,28171,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,CAMBODIA,26.0,0.0,,36
4722,14621,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,86,SPAIN,0.0,11.88,,31
3370,44821,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,81,MALAYSIA,20.0,0.0,,36
12321,23228,EPX,Travel Agency,Online,Cancellation Plan,0,10,CHINA,24.0,0.0,,36
4742,9726,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,FRANCE,82.0,0.0,,36
39731,34679,EPX,Travel Agency,Online,Cancellation Plan,0,30,THAILAND,17.0,0.0,,42
49815,26518,C2B,Airlines,Online,Bronze Plan,0,7,SINGAPORE,57.0,14.25,M,31
43952,23741,KML,Travel Agency,Online,Value Plan,0,6,INDONESIA,28.0,10.64,F,48
12021,50432,EPX,Travel Agency,Online,Cancellation Plan,0,36,UNITED ARAB EMIRATES,32.0,0.0,,36
1935,9548,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,MALAYSIA,20.0,0.0,,57
22869,7421,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,13,INDONESIA,20.0,0.0,,22
19332,62838,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,163,NORWAY,99.0,59.4,,29
21069,11780,EPX,Travel Agency,Online,Cancellation Plan,0,10,"TAIWAN, PROVINCE OF CHINA",18.0,0.0,,36
12542,39084,EPX,Travel Agency,Online,Cancellation Plan,0,91,ITALY,43.0,0.0,,36
30715,40010,EPX,Travel Agency,Online,Cancellation Plan,0,8,THAILAND,13.0,0.0,,36
45103,38375,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,26,THAILAND,27.0,0.0,,36
20345,31819,C2B,Airlines,Online,Silver Plan,0,46,SINGAPORE,25.0,6.25,F,29
15314,26507,JZI,Airlines,Online,Basic Plan,0,37,MALAYSIA,22.0,7.7,F,70
47964,37215,EPX,Travel Agency,Online,Cancellation Plan,0,7,THAILAND,10.0,0.0,,30
18398,30327,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,209,SOUTH AFRICA,108.9,65.34,,56
27904,20175,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,INDONESIA,20.0,0.0,,52
28575,18539,JZI,Airlines,Online,Basic Plan,0,32,CHINA,56.0,19.6,M,25
27165,62358,JZI,Airlines,Online,Basic Plan,0,4,CHINA,22.0,7.7,M,32
2782,21928,JZI,Airlines,Online,Basic Plan,0,24,MALAYSIA,18.0,6.3,F,48
45752,59405,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,17,AUSTRIA,9.9,5.94,,24
25283,13304,EPX,Travel Agency,Online,Cancellation Plan,0,43,"MOLDOVA, REPUBLIC OF",14.0,0.0,,36
29422,3336,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,93,SINGAPORE,87.0,0.0,,36
1759,19345,C2B,Airlines,Online,Bronze Plan,0,191,SINGAPORE,38.35,9.59,F,63
36988,51279,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,14,PHILIPPINES,20.0,0.0,,36
30230,59342,JZI,Airlines,Online,Basic Plan,0,54,"KOREA, REPUBLIC OF",26.0,9.1,F,25
37448,12639,EPX,Travel Agency,Online,Cancellation Plan,0,7,SRI LANKA,10.0,0.0,,36
32241,27861,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,23,INDIA,20.0,0.0,,36
47340,23353,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,10,AUSTRALIA,59.4,35.64,,32
48892,32313,EPX,Travel Agency,Online,Cancellation Plan,0,13,CHINA,13.0,0.0,,36
12281,57032,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,31,AUSTRALIA,69.3,41.58,,39
37058,7259,ART,Airlines,Online,24 Protect,0,118,THAILAND,17.16,6.01,M,48
11946,2323,EPX,Travel Agency,Online,Cancellation Plan,0,4,MALAYSIA,15.0,0.0,,36
35316,34546,SSI,Airlines,Online,Ticket Protector,0,2,SINGAPORE,3.32,0.93,,48
48679,8938,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,225,GERMANY,99.0,59.4,,31
324,44748,C2B,Airlines,Online,Silver Plan,0,24,SINGAPORE,74.4,18.6,M,51
23626,47317,EPX,Travel Agency,Online,Cancellation Plan,0,11,"KOREA, REPUBLIC OF",61.0,0.0,,36
18289,58983,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,30,NORWAY,188.1,112.86,,26
44184,40973,EPX,Travel Agency,Online,Cancellation Plan,0,28,FRANCE,52.0,0.0,,36
19443,26873,SSI,Airlines,Online,Ticket Protector,0,138,SINGAPORE,10.04,2.81,,48
24622,22260,EPX,Travel Agency,Online,Cancellation Plan,0,36,PORTUGAL,71.0,0.0,,36
3661,41148,EPX,Travel Agency,Online,Cancellation Plan,0,66,INDONESIA,10.0,0.0,,69
41711,57780,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,10,ICELAND,49.5,29.7,,53
26993,30723,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,169,AUSTRALIA,0.0,29.7,,60
43720,17818,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,MALAYSIA,20.0,0.0,,26
24905,1580,ART,Airlines,Online,24 Protect,0,3,PHILIPPINES,5.23,1.83,M,48
7040,45584,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,MALAYSIA,19.8,11.88,,50
12414,29519,EPX,Travel Agency,Online,Cancellation Plan,0,15,CHINA,53.0,0.0,,36
40447,32035,C2B,Airlines,Online,Silver Plan,0,45,SINGAPORE,25.0,6.25,M,39
2071,61031,JZI,Airlines,Online,Basic Plan,0,47,PHILIPPINES,30.0,10.5,M,31
15616,32519,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,25,NORWAY,89.1,53.46,,31
10146,28529,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,17,UNITED STATES,-29.7,17.82,,48
1837,10163,JZI,Airlines,Online,Basic Plan,0,12,THAILAND,18.0,6.3,M,41
35134,23758,JZI,Airlines,Online,Basic Plan,0,51,AUSTRALIA,35.0,12.25,F,57
11510,45119,C2B,Airlines,Online,Bronze Plan,0,14,SINGAPORE,20.0,5.0,F,29
21202,48159,JWT,Airlines,Online,Value Plan,0,15,INDIA,72.0,28.8,F,118
17339,36254,JZI,Airlines,Online,Basic Plan,0,16,PHILIPPINES,37.0,12.95,F,47
8415,16529,EPX,Travel Agency,Online,Cancellation Plan,0,66,UNITED STATES,68.0,0.0,,40
11086,49601,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,71,AUSTRALIA,89.1,53.46,,51
30356,24775,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,42,AUSTRALIA,39.6,23.76,,37
30010,19300,EPX,Travel Agency,Online,Cancellation Plan,0,79,SINGAPORE,10.0,0.0,,36
27582,44167,EPX,Travel Agency,Online,Cancellation Plan,0,9,SINGAPORE,39.0,0.0,,36
43415,16290,EPX,Travel Agency,Online,Cancellation Plan,0,13,CHINA,25.0,0.0,,36
28675,19475,C2B,Airlines,Online,Bronze Plan,0,60,SINGAPORE,30.55,7.64,F,73
11936,36829,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,26,HONG KONG,22.0,0.0,,36
34181,19611,EPX,Travel Agency,Online,Cancellation Plan,0,7,HONG KONG,29.0,0.0,,36
44088,57849,EPX,Travel Agency,Online,Cancellation Plan,0,64,RUSSIAN FEDERATION,107.0,0.0,,35
31196,62432,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,57,"TAIWAN, PROVINCE OF CHINA",21.0,0.0,,24
29419,21427,CSR,Travel Agency,Offline,Comprehensive Plan,0,38,THAILAND,29.0,9.57,F,84
17677,16347,JZI,Airlines,Online,Basic Plan,0,11,HONG KONG,35.0,12.25,M,48
40693,40409,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,13,MALAYSIA,0.0,23.76,,52
9606,52277,EPX,Travel Agency,Online,Cancellation Plan,0,3,CHINA,29.0,0.0,,36
42844,28666,EPX,Travel Agency,Online,Cancellation Plan,0,1,BANGLADESH,14.0,0.0,,36
20018,53226,EPX,Travel Agency,Online,Cancellation Plan,0,27,CHINA,10.0,0.0,,26
5018,50108,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,101,HONG KONG,61.0,0.0,,36
559,43716,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,34,MALAYSIA,29.7,17.82,,66
39895,18222,EPX,Travel Agency,Online,Cancellation Plan,0,19,CAMBODIA,31.0,0.0,,36
38839,47367,JZI,Airlines,Online,Basic Plan,0,43,INDONESIA,42.0,14.7,F,41
1942,40557,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,131,GREECE,-9.9,5.94,,25
6302,43071,C2B,Airlines,Online,Annual Silver Plan,0,364,SINGAPORE,322.0,80.5,F,22
18038,6448,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,53,PHILIPPINES,30.0,0.0,,36
48941,24427,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,89,"KOREA, REPUBLIC OF",52.0,0.0,,22
50534,15094,JZI,Airlines,Online,Basic Plan,0,37,INDONESIA,37.0,12.95,F,27
17224,6947,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,HONG KONG,112.0,0.0,,36
23549,60796,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,86,JAPAN,9.9,5.94,,48
44169,2410,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,5,HONG KONG,85.0,0.0,,36
11940,28363,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,102,GREECE,55.0,0.0,,36
21990,8857,EPX,Travel Agency,Online,Cancellation Plan,0,5,MALAYSIA,10.0,0.0,,35
50220,17735,JZI,Airlines,Online,Basic Plan,0,62,INDONESIA,30.0,10.5,M,48
28660,55606,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,57,THAILAND,22.0,0.0,,28
7796,14870,EPX,Travel Agency,Online,Cancellation Plan,0,38,CHINA,26.0,0.0,,36
48735,4594,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,19,JAPAN,112.0,0.0,,36
8365,45474,EPX,Travel Agency,Online,Cancellation Plan,0,6,KUWAIT,80.0,0.0,,36
43857,21937,JZI,Airlines,Online,Value Plan,0,233,AUSTRALIA,58.0,20.3,M,30
31466,54304,RAB,Airlines,Online,Value Plan,0,27,BRUNEI DARUSSALAM,50.0,20.0,,72
33157,16918,EPX,Travel Agency,Online,Cancellation Plan,0,118,POLAND,80.0,0.0,,36
49133,50364,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,35,CANADA,99.0,59.4,,31
43901,60629,C2B,Airlines,Online,Silver Plan,0,7,SINGAPORE,22.5,5.63,F,66
6895,43010,TST,Travel Agency,Offline,Travel Cruise Protect,0,72,MALAYSIA,30.0,10.5,F,52
49428,56915,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,49,ITALY,103.0,0.0,,36
7810,32398,C2B,Airlines,Online,Silver Plan,0,16,SINGAPORE,41.5,10.38,M,39
15025,26017,JWT,Airlines,Online,Value Plan,0,84,INDIA,31.0,12.4,F,118
13975,28134,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,SINGAPORE,19.8,11.88,,50
28513,36058,TTW,Travel Agency,Offline,Individual Comprehensive Plan,0,364,SINGAPORE,97.0,0.0,F,46
153,5275,JWT,Airlines,Online,Value Plan,0,4,INDIA,78.0,31.2,F,118
9100,5959,JZI,Airlines,Online,Basic Plan,0,27,HONG KONG,26.0,9.1,M,57
42780,57490,JZI,Airlines,Online,Basic Plan,0,12,MALAYSIA,18.0,6.3,F,42
31453,34715,RAB,Airlines,Online,Value Plan,0,3,BRUNEI DARUSSALAM,15.0,6.0,F,47
7420,20329,JZI,Airlines,Online,Basic Plan,0,9,SRI LANKA,26.0,9.1,M,33
13147,32707,C2B,Airlines,Online,Bronze Plan,0,19,SINGAPORE,34.5,8.63,M,39
19466,61044,C2B,Airlines,Online,Bronze Plan,0,13,SINGAPORE,20.0,5.0,F,57
38241,21950,C2B,Airlines,Online,Silver Plan,0,25,SINGAPORE,31.85,7.96,M,83
23039,10186,JZI,Airlines,Online,Value Plan,0,10,"KOREA, REPUBLIC OF",45.0,15.75,M,53
21139,24482,EPX,Travel Agency,Online,Cancellation Plan,0,4,SINGAPORE,20.0,0.0,,36
43742,17638,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,MALAYSIA,20.0,0.0,,30
45418,23316,ADM,Travel Agency,Online,Value Plan,0,49,FRANCE,0.0,36.1,F,22
21941,60531,EPX,Travel Agency,Online,Cancellation Plan,0,28,CHINA,41.0,0.0,,35
17817,40394,C2B,Airlines,Online,Silver Plan,0,6,SINGAPORE,35.0,8.75,F,55
27123,63106,C2B,Airlines,Online,Bronze Plan,0,10,SINGAPORE,27.0,6.75,M,30
4314,25120,JZI,Airlines,Online,Basic Plan,0,7,CHINA,26.0,9.1,M,31
12480,26448,EPX,Travel Agency,Online,Cancellation Plan,0,11,SINGAPORE,10.0,0.0,,36
8755,6033,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,UNITED STATES,81.0,0.0,,38
7814,27840,EPX,Travel Agency,Online,Cancellation Plan,0,5,THAILAND,15.0,0.0,,36
16608,38800,C2B,Airlines,Online,Silver Plan,0,11,SINGAPORE,18.5,4.63,M,68
36046,36204,EPX,Travel Agency,Online,Cancellation Plan,0,106,CHINA,52.0,0.0,,36
7780,60900,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,16,AUSTRALIA,118.8,71.28,,37
27157,54544,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,47,MALAYSIA,19.8,11.88,,31
16572,43943,EPX,Travel Agency,Online,Cancellation Plan,0,9,INDIA,10.0,0.0,,36
24615,11633,JZI,Airlines,Online,Basic Plan,0,24,CHINA,44.0,15.4,M,48
8720,30202,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,46,SINGAPORE,77.0,0.0,,36
46590,18632,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,MOROCCO,112.0,0.0,,36
17182,51518,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,25,UNITED STATES,102.0,0.0,,58
33727,5448,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,THAILAND,19.8,11.88,,28
21964,13064,EPX,Travel Agency,Online,Cancellation Plan,0,113,SINGAPORE,57.0,0.0,,36
41965,48813,C2B,Airlines,Online,Bronze Plan,0,13,SINGAPORE,16.0,4.0,M,25
50079,57216,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,31,MALAYSIA,20.0,0.0,,36
29705,60767,C2B,Airlines,Online,Bronze Plan,0,9,SINGAPORE,20.0,5.0,M,32
35785,52124,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,78,MALAYSIA,-99.0,59.4,,34
29451,51545,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,29,THAILAND,41.0,0.0,,66
26473,9771,EPX,Travel Agency,Online,Cancellation Plan,0,16,CHINA,38.0,0.0,,36
37221,61394,JZI,Airlines,Online,Basic Plan,0,20,THAILAND,22.0,7.7,F,45
18367,60711,EPX,Travel Agency,Online,Cancellation Plan,0,7,MALAYSIA,35.0,0.0,,35
50337,29818,JZI,Airlines,Online,Value Plan,0,13,"KOREA, REPUBLIC OF",45.0,15.75,F,39
4924,35804,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,4,JORDAN,20.0,0.0,,36
38562,45597,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,NETHERLANDS,0.0,29.7,,31
20158,53636,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,25,UNITED KINGDOM,70.0,0.0,,36
17179,5794,C2B,Airlines,Online,Bronze Plan,0,17,SINGAPORE,17.55,4.39,M,55
45431,56221,EPX,Travel Agency,Online,Cancellation Plan,0,9,HONG KONG,41.0,0.0,,36
8640,24564,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,221,UNITED STATES,39.6,23.76,,50
2598,45959,EPX,Travel Agency,Online,Cancellation Plan,0,86,JAPAN,27.0,0.0,,36
35523,40144,EPX,Travel Agency,Online,Cancellation Plan,0,149,MYANMAR,14.0,0.0,,36
2452,57134,JZI,Airlines,Online,Basic Plan,0,18,INDONESIA,22.0,7.7,M,63
31519,5333,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,92,MALAYSIA,20.0,0.0,,36
25601,13057,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,INDIA,37.0,0.0,,36
3839,33920,SSI,Airlines,Online,Ticket Protector,0,28,SINGAPORE,4.19,1.18,,48
46073,18508,EPX,Travel Agency,Online,Cancellation Plan,0,35,CHINA,19.0,0.0,,36
10791,20592,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,44,CHINA,42.0,0.0,,36
41609,29091,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,12,AUSTRALIA,89.1,53.46,,47
2209,1175,EPX,Travel Agency,Online,Cancellation Plan,0,26,CHINA,62.0,0.0,,36
50333,11336,EPX,Travel Agency,Online,Cancellation Plan,0,20,AUSTRALIA,26.0,0.0,,51
13603,52442,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,65,PHILIPPINES,58.0,0.0,,36
5826,1703,EPX,Travel Agency,Online,Cancellation Plan,0,17,INDIA,15.0,0.0,,64
16167,15702,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,6,CHINA,38.0,0.0,,36
33866,62702,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,HONG KONG,20.0,0.0,,21
36854,54652,EPX,Travel Agency,Online,Cancellation Plan,0,100,CHINA,76.0,0.0,,35
19906,38461,JZI,Airlines,Online,Basic Plan,0,25,CHINA,56.0,19.6,M,60
31528,56005,EPX,Travel Agency,Online,Cancellation Plan,0,8,CHINA,0.0,0.0,,36
46437,1308,EPX,Travel Agency,Online,Cancellation Plan,0,28,SINGAPORE,24.0,0.0,,36
23928,35298,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,107,THAILAND,28.0,0.0,,36
21065,34528,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,13,VIET NAM,20.0,0.0,,43
19676,47061,EPX,Travel Agency,Online,Cancellation Plan,0,14,CHINA,41.0,0.0,,36
17567,62391,C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,20.0,5.0,M,33
29553,55342,JZI,Airlines,Online,Basic Plan,0,32,VIET NAM,30.0,10.5,F,31
40468,58505,SSI,Airlines,Online,Ticket Protector,0,165,SINGAPORE,6.91,1.94,,48
625,34005,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,34,AUSTRALIA,59.4,35.64,,24
43601,19286,EPX,Travel Agency,Online,Cancellation Plan,0,135,MALAYSIA,10.0,0.0,,36
47043,33966,C2B,Airlines,Online,Bronze Plan,0,34,SINGAPORE,23.5,5.88,M,27
46018,62935,JZI,Airlines,Online,Basic Plan,0,66,HONG KONG,26.0,9.1,F,37
43200,11559,EPX,Travel Agency,Online,Cancellation Plan,0,54,MYANMAR,14.0,0.0,,26
14822,3196,C2B,Airlines,Online,Silver Plan,0,9,SINGAPORE,24.05,6.01,F,66
31951,957,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,THAILAND,20.0,0.0,,28
23031,23950,C2B,Airlines,Online,Bronze Plan,0,6,SINGAPORE,23.4,5.85,F,26
23712,35092,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,9,MALAYSIA,39.6,23.76,,33
42954,33577,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,124,AUSTRIA,-49.5,29.7,,43
49572,35327,EPX,Travel Agency,Online,Cancellation Plan,0,29,INDONESIA,22.0,0.0,,36
4996,19911,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,THAILAND,39.6,23.76,,44
8716,16499,EPX,Travel Agency,Online,Cancellation Plan,0,15,"KOREA, REPUBLIC OF",43.0,0.0,,36
47930,23116,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,4,MALAYSIA,19.8,11.88,,31
19288,24881,EPX,Travel Agency,Online,Cancellation Plan,0,23,NETHERLANDS,54.0,0.0,,36
3087,45406,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,35,THAILAND,80.0,0.0,,28
48548,19161,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,1,THAILAND,20.0,0.0,,36
23170,12348,EPX,Travel Agency,Online,Cancellation Plan,0,33,INDONESIA,10.0,0.0,,36
4320,50934,JZI,Airlines,Online,Value Plan,0,57,AUSTRALIA,45.0,15.75,M,28
816,35564,EPX,Travel Agency,Online,Cancellation Plan,0,34,THAILAND,10.0,0.0,,42
39378,26610,EPX,Travel Agency,Online,Cancellation Plan,0,112,MALAYSIA,10.0,0.0,,36
40018,60390,JZI,Airlines,Online,Basic Plan,0,39,JAPAN,35.0,12.25,M,28
25507,61662,C2B,Airlines,Online,Silver Plan,0,160,SINGAPORE,39.0,9.75,F,45
36331,4789,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,UNITED KINGDOM,88.0,0.0,,36
2095,56135,C2B,Airlines,Online,Annual Silver Plan,0,368,SINGAPORE,161.0,40.25,F,24
29393,62680,EPX,Travel Agency,Online,Cancellation Plan,0,37,SINGAPORE,10.0,0.0,,31
39259,43297,EPX,Travel Agency,Online,Cancellation Plan,0,5,VIET NAM,11.0,0.0,,36
5534,40357,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,3,MALAYSIA,20.0,0.0,,36
10301,62670,EPX,Travel Agency,Online,Cancellation Plan,0,18,MALAYSIA,12.0,0.0,,32
45141,41044,C2B,Airlines,Online,Bronze Plan,0,37,SINGAPORE,33.5,8.38,F,46
1414,52640,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,CANADA,69.3,41.58,,47
4400,31021,C2B,Airlines,Online,Bronze Plan,0,16,SINGAPORE,28.5,7.13,M,33
41757,32668,EPX,Travel Agency,Online,Cancellation Plan,0,40,BELGIUM,80.0,0.0,,36
2724,42701,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,13,MALAYSIA,20.0,0.0,,36
48299,19462,JZI,Airlines,Online,Basic Plan,0,25,INDIA,26.0,9.1,M,50
23287,37922,C2B,Airlines,Online,Bronze Plan,0,12,SINGAPORE,23.5,5.88,F,37
48073,62477,EPX,Travel Agency,Online,Cancellation Plan,0,5,SINGAPORE,18.0,0.0,,35
29112,39003,C2B,Airlines,Online,Gold Plan,0,14,SINGAPORE,153.0,38.25,M,45
36708,16249,EPX,Travel Agency,Online,Cancellation Plan,0,95,SINGAPORE,12.0,0.0,,36
30274,9492,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,72,"KOREA, REPUBLIC OF",29.7,17.82,,42
24404,35170,EPX,Travel Agency,Online,Cancellation Plan,0,45,THAILAND,20.0,0.0,,28
24586,37059,EPX,Travel Agency,Online,Cancellation Plan,0,23,SINGAPORE,10.0,0.0,,43
15432,38940,JWT,Airlines,Online,Value Plan,0,7,INDIA,62.0,24.8,M,118
4366,25045,EPX,Travel Agency,Online,Cancellation Plan,0,58,THAILAND,11.0,0.0,,36
